"Time","C1","C2","C3","C4","C5"
"1407.848","21.0","-35.0","-84.0","104310.0","125118.0"
"1407.873","21.0","-35.0","-84.0","104310.0","125118.0"
"1407.9481","21.0","-35.0","-83.0","104316.0","125124.0"
"1407.9607","21.0","-35.0","-83.0","104316.0","125124.0"
"1407.9731","22.0","-35.0","-84.0","104305.0","125097.0"
"1407.9856","22.0","-35.0","-84.0","104305.0","125097.0"
"1407.9982","22.0","-35.0","-85.0","104323.0","125088.0"
"1408.0065","22.0","-35.0","-85.0","104323.0","125088.0"
"1408.0149","21.0","-34.0","-85.0","104289.0","125122.0"
"1408.0232","21.0","-34.0","-85.0","104289.0","125122.0"
"1408.0315","21.0","-35.0","-85.0","104295.0","124956.0"
"1408.0399","21.0","-35.0","-85.0","104295.0","124956.0"
"1408.0983","21.0","-35.0","-84.0","104307.0","125029.0"
"1408.1233","21.0","-35.0","-84.0","104307.0","125029.0"
"1408.1483","21.0","-35.0","-83.0","104307.0","125060.0"
"1408.1566","21.0","-35.0","-83.0","104307.0","125060.0"
"1408.165","21.0","-35.0","-84.0","104306.0","125047.0"
"1408.1733","21.0","-35.0","-84.0","104306.0","125047.0"
"1408.1816","21.0","-35.0","-85.0","104301.0","125070.0"
"1408.1901","21.0","-35.0","-85.0","104301.0","125070.0"
"1408.2985","21.0","-35.0","-85.0","104314.0","125090.0"
"1408.3235","21.0","-35.0","-85.0","104314.0","125090.0"
"1408.5988","22.0","-35.0","-84.0","104314.0","125088.0"
"1408.607","22.0","-35.0","-84.0","104314.0","125088.0"
"1408.6155","21.0","-35.0","-84.0","104330.0","125084.0"
"1408.6238","21.0","-35.0","-84.0","104330.0","125084.0"
"1408.6321","21.0","-35.0","-83.0","104266.0","125108.0"
"1408.6405","21.0","-35.0","-83.0","104266.0","125108.0"
"1408.6989","21.0","-35.0","-84.0","104328.0","125112.0"
"1408.7114","21.0","-35.0","-84.0","104328.0","125112.0"
"1408.7239","22.0","-35.0","-84.0","104327.0","125136.0"
"1408.7363","22.0","-35.0","-84.0","104327.0","125136.0"
"1408.7489","21.0","-35.0","-84.0","104312.0","125133.0"
"1408.7615","21.0","-35.0","-84.0","104312.0","125133.0"
"1408.7739","21.0","-35.0","-84.0","104327.0","125136.0"
"1408.7864","21.0","-35.0","-84.0","104327.0","125136.0"
"1408.899","21.0","-34.0","-85.0","104318.0","125062.0"
"1408.9073","21.0","-34.0","-85.0","104318.0","125062.0"
"1408.9158","21.0","-35.0","-84.0","104302.0","125165.0"
"1408.9241","21.0","-35.0","-84.0","104302.0","125165.0"
"1408.9324","21.0","-35.0","-84.0","104322.0","125011.0"
"1408.9408","21.0","-35.0","-84.0","104322.0","125011.0"
"1409.1493","21.0","-35.0","-85.0","104292.0","125032.0"
"1409.1576","21.0","-35.0","-85.0","104292.0","125032.0"
"1409.166","21.0","-35.0","-84.0","104405.0","125055.0"
"1409.1743","21.0","-35.0","-84.0","104405.0","125055.0"
"1409.1826","22.0","-35.0","-85.0","104302.0","125054.0"
"1409.191","22.0","-35.0","-85.0","104302.0","125054.0"
"1409.2494","21.0","-35.0","-85.0","104306.0","125073.0"
"1409.262","21.0","-35.0","-85.0","104306.0","125073.0"
"1409.2744","21.0","-34.0","-84.0","104314.0","125092.0"
"1409.2869","21.0","-34.0","-84.0","104314.0","125092.0"
"1409.2994","21.0","-35.0","-85.0","104335.0","125087.0"
"1409.312","21.0","-35.0","-85.0","104335.0","125087.0"
"1409.3245","21.0","-34.0","-84.0","104306.0","125032.0"
"1409.3369","21.0","-34.0","-84.0","104306.0","125032.0"
"1409.5997","22.0","-35.0","-84.0","104296.0","125009.0"
"1409.6123","22.0","-35.0","-84.0","104296.0","125009.0"
"1409.6248","21.0","-34.0","-84.0","104260.0","124996.0"
"1409.6372","21.0","-34.0","-84.0","104260.0","124996.0"
"1409.6998","21.0","-35.0","-84.0","104291.0","124993.0"
"1409.7081","21.0","-35.0","-84.0","104291.0","124993.0"
"1409.7166","21.0","-35.0","-84.0","104298.0","125090.0"
"1409.7249","21.0","-35.0","-84.0","104298.0","125090.0"
"1409.7332","21.0","-35.0","-84.0","104278.0","125005.0"
"1409.7416","21.0","-35.0","-84.0","104278.0","125005.0"
"1410.3505","21.0","-34.0","-84.0","104296.0","124987.0"
"1410.3588","21.0","-34.0","-84.0","104296.0","124987.0"
"1410.3672","21.0","-35.0","-84.0","104284.0","124980.0"
"1410.3755","21.0","-35.0","-84.0","104284.0","124980.0"
"1410.3838","21.0","-35.0","-83.0","104300.0","125013.0"
"1410.3922","21.0","-35.0","-83.0","104300.0","125013.0"
"1410.5006","21.0","-35.0","-84.0","104285.0","125002.0"
"1410.5089","21.0","-35.0","-84.0","104285.0","125002.0"
"1410.5173","21.0","-34.0","-84.0","104308.0","125028.0"
"1410.5256","21.0","-34.0","-84.0","104308.0","125028.0"
"1410.5339","21.0","-35.0","-84.0","104338.0","125024.0"
"1410.5424","21.0","-35.0","-84.0","104338.0","125024.0"
"1410.5507","21.0","-34.0","-84.0","104214.0","125041.0"
"1410.5632","21.0","-34.0","-84.0","104214.0","125041.0"
"1410.5757","21.0","-35.0","-85.0","104303.0","125052.0"
"1410.5881","21.0","-35.0","-85.0","104303.0","125052.0"
"1411.0011","21.0","-34.0","-83.0","104307.0","125041.0"
"1411.0094","21.0","-34.0","-83.0","104307.0","125041.0"
"1411.0178","21.0","-34.0","-85.0","104333.0","125044.0"
"1411.0261","21.0","-34.0","-85.0","104333.0","125044.0"
"1411.0344","22.0","-35.0","-84.0","104313.0","125020.0"
"1411.0428","22.0","-35.0","-84.0","104313.0","125020.0"
"1411.3014","21.0","-34.0","-85.0","104292.0","124946.0"
"1411.3097","21.0","-34.0","-85.0","104292.0","124946.0"
"1411.3181","21.0","-35.0","-85.0","104301.0","124954.0"
"1411.3264","21.0","-35.0","-85.0","104301.0","124954.0"
"1411.3347","21.0","-35.0","-84.0","104305.0","124885.0"
"1411.3431","21.0","-35.0","-84.0","104305.0","124885.0"
"1411.3514","21.0","-35.0","-84.0","104382.0","124947.0"
"1411.364","21.0","-35.0","-84.0","104382.0","124947.0"
"1411.3765","21.0","-34.0","-84.0","104286.0","124952.0"
"1411.3889","21.0","-34.0","-84.0","104286.0","124952.0"
"1411.5516","21.0","-34.0","-84.0","104279.0","124955.0"
"1411.5599","21.0","-34.0","-84.0","104279.0","124955.0"
"1411.5684","21.0","-35.0","-84.0","104235.0","124963.0"
"1411.5767","21.0","-35.0","-84.0","104235.0","124963.0"
"1411.585","21.0","-35.0","-84.0","104298.0","124957.0"
"1411.5934","21.0","-35.0","-84.0","104298.0","124957.0"
"1411.6017","21.0","-35.0","-85.0","104310.0","124982.0"
"1411.6267","21.0","-35.0","-85.0","104310.0","124982.0"
"1412.0521","21.0","-34.0","-84.0","104299.0","124964.0"
"1412.0647","21.0","-34.0","-84.0","104299.0","124964.0"
"1412.0771","21.0","-34.0","-84.0","104304.0","124988.0"
"1412.0896","21.0","-34.0","-84.0","104304.0","124988.0"
"1412.1022","21.0","-35.0","-84.0","104325.0","124989.0"
"1412.1105","21.0","-35.0","-84.0","104325.0","124989.0"
"1412.1189","21.0","-35.0","-84.0","104301.0","124972.0"
"1412.1272","21.0","-35.0","-84.0","104301.0","124972.0"
"1412.1355","21.0","-35.0","-84.0","104301.0","124964.0"
"1412.1439","21.0","-35.0","-84.0","104301.0","124964.0"
"1412.3524","21.0","-35.0","-85.0","104307.0","124967.0"
"1412.3607","21.0","-35.0","-85.0","104307.0","124967.0"
"1412.3691","21.0","-34.0","-84.0","104285.0","124904.0"
"1412.3774","21.0","-34.0","-84.0","104285.0","124904.0"
"1412.3857","21.0","-35.0","-85.0","104277.0","124880.0"
"1412.3942","21.0","-35.0","-85.0","104277.0","124880.0"
