Time,C1,C2,C3,C4,C5
2026-05-07 13:54:12.525,-4,-90,-33,124427,131148
2026-05-07 13:54:12.705,-1,-90,-17,124425,131171
2026-05-07 13:54:12.825,7,-91,-22,124434,131185
2026-05-07 13:54:13.125,6,-94,-15,124454,131212
2026-05-07 13:54:13.245,8,-92,-8,124469,131241
2026-05-07 13:54:14.265,15,-97,-9,124497,131266
2026-05-07 13:54:14.505,14,-95,6,124491,131299
2026-05-07 13:54:14.685,11,-106,9,124501,131311
2026-05-07 13:54:14.865,9,-101,3,124512,131314
2026-05-07 13:54:15.045,10,-100,6,124472,131247
2026-05-07 13:54:15.466,8,-104,7,124464,131210
2026-05-07 13:54:16.065,10,-103,1,124427,131102
2026-05-07 13:54:16.725,18,-101,-1,124387,130997
2026-05-07 13:54:16.905,10,-101,6,124335,130911
2026-05-07 13:54:17.085,10,-100,5,124342,130828
2026-05-07 13:54:17.265,9,-101,5,124325,130740
2026-05-07 13:54:17.565,10,-102,6,124322,130730
2026-05-07 13:54:17.805,17,-97,3,124318,130712
2026-05-07 13:54:18.045,12,-99,1,124350,130687
2026-05-07 13:54:18.166,7,-103,3,124345,130683
2026-05-07 13:54:18.465,14,-96,1,124312,130627
2026-05-07 13:54:18.585,16,-101,0,124298,130587
2026-05-07 13:54:19.005,5,-104,4,124306,130583
2026-05-07 13:54:19.365,12,-100,0,124169,134440
2026-05-07 13:54:19.545,12,-99,1,124934,135393
2026-05-07 13:54:19.665,11,-100,1,127816,139147
2026-05-07 13:54:20.145,12,-98,2,127887,139359
2026-05-07 13:54:20.445,9,-100,3,127832,139368
2026-05-07 13:54:20.625,12,-101,0,127810,139537
2026-05-07 13:54:20.925,11,-101,2,127769,139530
2026-05-07 13:54:21.224,11,-99,2,127700,139490
2026-05-07 13:54:21.945,12,-99,0,127061,139338
2026-05-07 13:54:22.425,12,-100,0,126765,139441
2026-05-07 13:54:22.605,10,-101,0,126132,138749
2026-05-07 13:54:22.725,10,-100,1,126044,138315
2026-05-07 13:54:22.845,9,-100,3,126128,138594
2026-05-07 13:54:23.265,10,-100,1,126143,138735
2026-05-07 13:54:23.505,11,-100,0,126173,138860
2026-05-07 13:54:23.804,12,-101,0,126776,139926
2026-05-07 13:54:24.165,10,-102,0,126911,140036
2026-05-07 13:54:24.285,10,-100,2,126728,139642
2026-05-07 13:54:24.645,10,-100,2,126768,139742
2026-05-07 13:54:24.765,11,-100,1,126662,139665
2026-05-07 13:54:24.885,11,-100,0,126647,139627
2026-05-07 13:54:25.065,9,-99,3,126360,139053
2026-05-07 13:54:26.565,10,-101,2,126376,139233
2026-05-07 13:54:26.805,10,-101,1,126371,139365
2026-05-07 13:54:27.045,9,-100,1,126347,139454
2026-05-07 13:54:27.525,11,-100,1,126214,138950
2026-05-07 13:54:27.645,11,-102,1,126274,139244
2026-05-07 13:54:27.764,11,-100,1,126319,139452
2026-05-07 13:54:28.245,10,-100,4,126295,139383
2026-05-07 13:54:28.365,11,-101,1,126282,139464
2026-05-07 13:54:28.485,11,-101,1,126220,139451
2026-05-07 13:54:28.605,10,-100,2,125999,138848
2026-05-07 13:54:28.725,9,-102,3,126172,139366
2026-05-07 13:54:28.905,10,-101,1,126034,139157
2026-05-07 13:54:29.085,11,-101,0,126064,139252
2026-05-07 13:54:29.205,10,-100,2,126068,139326
2026-05-07 13:54:29.325,10,-100,1,126087,139341
2026-05-07 13:54:29.685,11,-100,2,126059,139382
2026-05-07 13:54:30.104,9,-100,3,125896,139018
2026-05-07 13:54:30.945,11,-100,1,125977,139223
2026-05-07 13:54:31.245,11,-100,2,125767,138747
2026-05-07 13:54:31.725,10,-100,3,125819,139003
2026-05-07 13:54:32.205,11,-101,1,125867,139207
2026-05-07 13:54:32.324,10,-100,2,125810,139057
2026-05-07 13:54:33.045,8,-101,3,125847,139195
2026-05-07 13:54:33.608,10,-101,4,125874,139254
2026-05-07 13:54:33.705,10,-101,4,125719,139019
2026-05-07 13:54:34.724,9,-101,3,125792,139252
2026-05-07 13:54:35.507,10,-101,4,125543,138608
2026-05-07 13:54:35.747,10,-101,3,125773,139302
2026-05-07 13:54:36.117,10,-101,2,125780,139382
2026-05-07 13:54:36.644,9,-101,3,125756,139239
2026-05-07 13:54:36.945,11,-101,3,125760,139293
2026-05-07 13:54:37.304,9,-101,5,125792,139368
2026-05-07 13:54:38.085,10,-100,5,125669,139149
2026-05-07 13:54:39.046,9,-101,3,125540,139000
2026-05-07 13:54:39.285,5,-103,7,125630,139247
2026-05-07 13:54:39.585,9,-103,4,125654,139413
2026-05-07 13:54:40.304,7,-103,8,125659,139375
2026-05-07 13:54:41.144,9,-102,5,125680,139474
2026-05-07 13:54:41.805,9,-101,6,125618,139297
2026-05-07 13:54:42.284,10,-102,5,125657,139466
